Property Melting Point,Property Density,Property Boiling Point,Property Solubility,Property Molar Mass,Name,formula
,,,,,JWH-198,C$_{26}$H$_{26}$N$_{2}$O$_{3}$
220,,,,,Difluocortolone valerate,C$_{27}$H$_{36}$F$_{2}$O$_{5}$
,,,,,Gamma-Hydroxybutyric acid,
2,,90,13.9,,Dimethyl carbonate,C$_{3}$H$_{6}$O$_{3}$
,,,,,Sulbentine,C$_{17}$H$_{18}$N$_{2}$S$_{2}$
394,4.2,697,311,225.198,Zinc bromide,ZnBr$_{2}$
154-157,,212,,,Pivalamide,C$_{5}$H$_{11}$NO
60.06,1.85,,81,238.011,Chromium nitrate,Cr(NO$_{3}$)$_{3}$
120-130,,,,,Zinc stearate,C$_{36}$H$_{70}$O$_{4}$Zn
-64.5,,44.5,reacts,,Aluminium borohydride,AlB$_{3}$H$_{12}$
,,,,,Vitisin C,C$_{56}$H$_{42}$O$_{12}$
800,,,0.00005,117.444,Zinc cyanide,C$_{2}$N$_{2}$Zn
,,,,,Amantadine,C$_{10}$H$_{17}$N
,,,,,Bialaphos,C$_{11}$H$_{22}$N$_{3}$O$_{6}$P
,,,,,Iopromide,C$_{18}$H$_{24}$I$_{3}$N$_{3}$O$_{8}$
,,,,,Palonosetron,C$_{19}$H$_{24}$N$_{2}$O
,,,,158.11,Ibotenic acid,C$_{5}$H$_{6}$N$_{2}$O$_{4}$
,,,,,Edaravone,C$_{10}$H$_{10}$N$_{2}$O
,,,,,Midafotel,C$_{8}$H$_{15}$N$_{2}$O$_{5}$P
,,,,,Fomivirsen,C$_{204}$H$_{263}$N$_{63}$O$_{114}$P$_{20}$S$_{20}$
,,,,252.17,Orellanine,C$_{10}$H$_{8}$N$_{2}$O$_{6}$
350,1.8,,0.044-249,653.72,Dechlorane plus,C$_{18}$H$_{12}$Cl$_{12}$
233,1.607,,24.99,,Glycine,C$_{2}$H$_{5}$NO$_{2}$
-46.3,2.643,91.3,reacts violently,250.52,Boron tribromide,BBr$_{3}$
230,,250,slightly soluble,191.319,Silver chlorate,AgClO$_{3}$
103-133,,,,424.14,Dess-Martin periodinane,C$_{13}$H$_{13}$IO$_{8}$
232,1.71,250,,104.07,Nitroguanidine,CH$_{4}$N$_{4}$O$_{2}$
,,,,,Para-Chloroamphetamine,C$_{9}$H$_{12}$ClN
,,,,404.36,Brickellin,C$_{20}$H$_{20}$O$_{9}$
,,,,,EGIS-12 233,
730,3.353,1935,,199.89,Calcium bromide,CaBr$_{2}$
,,,Decomposes,,Acetyl iodide,C$_{2}$H$_{3}$IO
-67.8,0.93,417,negligible,,Bis(2-ethylhexyl) adipate,C$_{22}$H$_{42}$O$_{4}$
,,,,,Adjudin,C$_{15}$H$_{12}$Cl$_{2}$N$_{4}$O
,,,,173.25,Benzomorphan,C$_{12}$H$_{15}$N
,,,,,Cyclic ozone,O$_{3}$
210,1.74,,,173.027,Manganese(II) acetate,Mn(CH$_{3}$COO)$_{2}$(anhydrous)
,,,,,Flurazepam,C$_{21}$H$_{23}$ClFN$_{3}$O
,,,,,Aminoacetonitrile,C$_{2}$H$_{4}$N$_{2}$
,,,,,Pheniramine,C$_{16}$H$_{20}$N$_{2}$
-10.45,,244-245,miscible,106.12,Diethylene glycol,C$_{4}$H$_{10}$O$_{3}$
238,,,,,FOX-7,C$_{2}$H$_{4}$N$_{4}$O$_{4}$
,,,,,Hesperetin,C$_{16}$H$_{14}$O$_{6}$
,,,,258.058,DCKA,C$_{10}$H$_{5}$Cl$_{2}$NO$_{3}$
,,,,,LASSBio-881,C$_{23}$H$_{27}$N$_{3}$O$_{6}$
,,,,,Zomebazam,C$_{15}$H$_{16}$N$_{4}$O$_{2}$
,,,,,Piquindone,C$_{15}$H$_{22}$N$_{2}$O
,,153,,,Bisabolol,C$_{15}$H$_{26}$O
69-70,1.287,,1000,85.06,Cyanoacetic acid,C$_{3}$H$_{3}$NO$_{2}$
,,,,276.28,Lactucin,C$_{15}$H$_{16}$O$_{5}$
,,,,213.19,Omethoate,C$_{5}$H$_{12}$NO$_{4}$PS
1940,4.87,,,149.881,Vanadium(III) oxide,V$_{2}$O$_{3}$
,,,,,Magnesium levulinate,
,,,,,PMSF,C$_{7}$H$_{7}$FO$_{2}$S
,,,,,Mexrenone,C$_{24}$H$_{32}$O$_{5}$
,,,,,Ricinolein,C$_{57}$H$_{104}$O$_{9}$
,2.461,,126,140.02,Chromium(II) oxalate,Cr(C$_{2}$O$_{4}$)
,,,,,Zafuleptine,C$_{17}$H$_{26}$FNO$_{2}$
,,,,,Bexarotene,C$_{24}$H$_{28}$O$_{2}$
,,,,,Lanperisone,C$_{15}$H$_{18}$F$_{3}$NO
,,,,,Buphenine,C$_{19}$H$_{25}$NO$_{2}$
,,,,271.332,Lead(IV) sulfide,PbS$_{2}$
,,,,,Ustalic acid,C$_{19}$H$_{14}$O$_{6}$
,,,,,GBR-12935,C$_{28}$H$_{34}$N$_{2}$O
,,,,332.26,Mearnsetin,C$_{16}$H$_{12}$O$_{8}$
,,,,,Cellulose triacetate,variable
,,,,,Ceftiolene,C$_{20}$H$_{18}$N$_{8}$O$_{8}$S$_{3}$
189.4,3.98,360,,407.69495,Aluminium iodide,AlI$_{3}$
,,,,,Cinchophen,C$_{16}$H$_{11}$NO$_{2}$
,,,,231.29,Naphthylvinylpyridine,C$_{17}$H$_{13}$N
,,,,,Zaragozic acid,C$_{35}$H$_{46}$O$_{14}$
,,,,,Thujene,C$_{10}$H$_{16}$
