Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2022-03-31,2022-04-01,1975,RITE AID 05647,Health Care,8.92,
2022-03-30,2022-04-01,1975,STUMP'S MARKET,Merchandise,6.56,
2022-03-30,2022-04-01,1975,ORTIZS TACO SHOP,Dining,22.54,
2022-03-30,2022-03-31,1975,TRADER JOE'S #188  QPS,Merchandise,15.89,
2022-03-30,2022-03-30,2763,COMCAST CALIFORNIA,Phone/Cable,73.23,
2022-03-28,2022-03-30,2763,BLUE COYOTE GRILL,Dining,39.68,
2022-03-27,2022-03-28,2763,PABLITOS MEXICAN BAR,Dining,35.52,
2022-03-26,2022-03-28,2763,WATERFRONT BAR AND GRI,Dining,28.17,
2022-03-26,2022-03-28,2763,ORTEGAS COCINA,Dining,33.55,
2022-03-25,2022-03-28,1975,PRINCESS PUB & GRILLE,Dining,9.93,
2022-03-25,2022-03-28,1975,PRINCESS PUB & GRILLE,Dining,17.49,
2022-03-26,2022-03-28,2763,RITE AID 05647,Health Care,35.54,
2022-03-26,2022-03-28,2763,TST* SAMBURGERS LITTLE,Dining,29.38,
2022-03-25,2022-03-28,2763,BOLT BREWERY DOWNTOWN,Dining,22.86,
2022-03-25,2022-03-26,1975,SUNSHINE CO SALOON,Dining,12.78,
2022-03-20,2022-03-21,2763,PORT OF SD PKG N EMBAR,Other Services,1.75,
2022-03-20,2022-03-21,2763,SQ *PARANA EMPANADAS L,Dining,12.60,
2022-03-19,2022-03-21,2763,ARCO #42446 AMPM,Gas/Automotive,16.85,
2022-03-19,2022-03-21,2763,TST* Yucca Tree Eatery,Dining,36.05,
2022-03-16,2022-03-16,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,501.25
2022-03-13,2022-03-15,1975,SAFEWAY #3026,Merchandise,77.27,
2022-03-12,2022-03-15,2763,VA DE VI BISTRO & WINE,Dining,53.51,
2022-03-13,2022-03-14,1975,CHEVRON 0305610,Gas/Automotive,65.10,
2022-03-13,2022-03-14,2763,Peacock 01FC8 Premium,Phone/Cable,4.99,
2022-03-12,2022-03-14,2763,MASSIMO RISTORANTE,Dining,125.40,
2022-03-12,2022-03-14,2763,EB BAY AREA CRAFT BEE,Other Services,218.61,
2022-03-11,2022-03-11,2763,CREDIT-REWARD REDEMPTION,Payment/Credit,,45.23
2022-03-11,2022-03-11,2763,CREDIT-REWARD REDEMPTION,Payment/Credit,,89.98
2022-03-11,2022-03-11,2763,CREDIT-REWARD REDEMPTION,Payment/Credit,,110.00
2022-03-07,2022-03-08,2763,FLYERS WALNUT CREEK,Gas/Automotive,63.64,
2022-03-07,2022-03-08,2763,TRADER JOE'S #123  QPS,Merchandise,27.07,
2022-03-06,2022-03-07,2763,TEXACO 0355921,Gas/Automotive,13.64,
2022-03-05,2022-03-07,1975,TAQUERIA EL FAROLITO,Dining,66.73,
2022-03-04,2022-03-07,2763,THE DIABLO HILLS GOLF,Dining,30.50,
2022-03-04,2022-03-04,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,421.20
2022-03-01,2022-03-02,2763,FLYERS WALNUT CREEK,Gas/Automotive,28.21,
2022-03-01,2022-03-02,2763,TRADER JOE'S #123  QPS,Merchandise,19.35,
2022-03-02,2022-03-02,2763,COMCAST CALIFORNIA,Phone/Cable,73.23,
