w,day1,day2,day3,day4,day5,day6
3997.80844,0.00393,0.03818,0.04832,0.06691,0.05151,0.03241
3995.87993,0.00398,0.03809,0.04824,0.06683,0.0514,0.03236
3993.95142,0.00402,0.03797,0.04826,0.06684,0.05136,0.03228
3992.0229,0.0041,0.03794,0.0483,0.06686,0.05137,0.03227
3990.09439,0.00412,0.03796,0.04829,0.06687,0.05138,0.03229
3988.16588,0.00407,0.03799,0.04829,0.0669,0.05138,0.03229
3986.23736,0.00402,0.03799,0.0483,0.06691,0.05142,0.03224
3984.30885,0.00402,0.03797,0.04826,0.06683,0.05148,0.03221
3982.38033,0.0041,0.03799,0.04821,0.0667,0.05151,0.03221
3980.45182,0.00419,0.03805,0.0482,0.06664,0.05154,0.03221
3978.52331,0.0042,0.03808,0.04824,0.06671,0.05156,0.03221
3976.59479,0.00416,0.03807,0.04828,0.06679,0.05157,0.03222
3974.66628,0.00415,0.03808,0.04831,0.06678,0.05157,0.03224
3972.73777,0.00414,0.03806,0.04828,0.06673,0.05154,0.03224
3970.80925,0.00408,0.03796,0.04817,0.06672,0.05147,0.03222
3968.88074,0.00405,0.03785,0.04809,0.06669,0.05144,0.03223
3966.95223,0.00409,0.03784,0.04813,0.06659,0.05148,0.0323
3965.02371,0.00409,0.03788,0.0482,0.0665,0.05153,0.03231
3963.0952,0.00404,0.03791,0.04822,0.06651,0.05157,0.03225
3961.16669,0.00404,0.03791,0.04821,0.06658,0.05163,0.03222
3959.23817,0.00407,0.03792,0.04822,0.06665,0.05168,0.03225
3957.30966,0.00411,0.03798,0.04824,0.06667,0.05167,0.03229
3955.38115,0.00419,0.03805,0.04829,0.06668,0.05157,0.03234
3953.45263,0.00426,0.03806,0.04838,0.06665,0.05147,0.03237
3951.52412,0.00428,0.03802,0.04845,0.06661,0.05142,0.03239
3949.59561,0.00426,0.03796,0.04845,0.0666,0.05138,0.03235
3947.66709,0.00429,0.03792,0.04838,0.06661,0.05134,0.03227
3945.73858,0.00432,0.03791,0.04827,0.06662,0.05135,0.03221
3943.81007,0.00432,0.03789,0.04819,0.06661,0.05139,0.03218
3941.88155,0.00428,0.03785,0.04819,0.06655,0.0514,0.03215
3939.95304,0.0042,0.03777,0.0482,0.06639,0.05138,0.03211
3938.02452,0.00416,0.03776,0.04818,0.06625,0.05137,0.03208
3936.09601,0.0042,0.03785,0.04814,0.06625,0.05143,0.03208
3934.1675,0.00424,0.03791,0.04811,0.06634,0.05149,0.0321
3932.23898,0.00424,0.03787,0.04809,0.06634,0.05148,0.03211
3930.31047,0.00423,0.03782,0.04812,0.06627,0.05142,0.03211
3928.38196,0.0042,0.03786,0.04817,0.06623,0.05133,0.0321
3926.45344,0.00416,0.03788,0.04816,0.06625,0.05128,0.03209
3924.52493,0.00414,0.03781,0.04809,0.06627,0.05128,0.03206
3922.59642,0.00416,0.03773,0.04807,0.06625,0.05134,0.03206
3920.6679,0.0042,0.03773,0.04809,0.06627,0.0514,0.0321
3918.73939,0.00424,0.03781,0.04812,0.06634,0.05141,0.03214
3916.81088,0.00431,0.0379,0.04817,0.06643,0.05134,0.03217
