wavelength,day1,day2,day3,day4,day5,day6
2000,4.746661663,4.415342331,4.152798653,4.332054615,4.336683273,4.770664692
1999,4.492071629,4.200150013,4.13658762,4.185601711,4.130045414,4.645046711
1998,4.674263477,4.417205811,4.344239712,4.278917789,4.286626816,4.770215988
1997,4.690936089,4.423459053,4.42949295,4.424833298,4.337391376,4.783567905
1996,4.681477547,4.483549118,4.045360088,4.268996716,4.256186008,4.74798584
1995,4.481972218,4.451436043,4.295287132,4.324353218,4.347483635,4.787910938
1994,4.758831501,4.470441341,4.34654665,4.167670727,4.146438599,4.768653393
1993,4.890678883,4.537845612,4.354554176,4.444090843,4.34674263,4.851954937
1992,4.820834637,4.448903561,4.2315135,4.321079731,4.21262598,4.799578667
1991,4.60051918,4.546122551,4.338196278,4.282279491,4.475883484,4.800784111
1990,4.616831303,4.483833313,4.258298874,4.476707458,4.292397976,4.970018387
1989,4.687769413,4.461051941,4.357081413,4.431621552,4.382820606,4.723888397
1988,4.664879322,4.425508976,4.456924438,4.359637737,4.191521168,4.781854153
1987,4.760304928,4.388527393,4.239522457,4.232393742,4.385299683,4.538083076
1986,4.646022797,4.473111629,4.497003555,4.425927162,4.491304398,4.920741081
1985,4.67323494,4.466961384,4.337210655,4.445358276,4.39554882,4.819938183
1984,4.653038979,4.309798241,4.255670547,4.265144825,4.28029871,4.77990675
1983,4.727984905,4.315701962,4.262731075,4.412798405,4.244936943,4.763905525
1982,4.708410263,4.454266071,4.268793583,4.194692135,4.334518909,4.52975893
1981,4.592658043,4.283927441,4.171467781,4.220515251,4.253700733,4.567173958
1980,4.654130936,4.329380989,4.129506111,4.266005516,4.216799259,4.691636086
1979,4.654229641,4.439545155,4.268122196,4.170788288,4.306344509,4.832687855
1978,4.45882082,4.04574728,4.174421787,4.112352371,4.344107151,4.895919323
1977,4.589922428,4.399314404,4.215662003,4.387379646,4.272527695,4.701905727
1976,4.597753525,4.278804302,4.070465565,4.205462933,4.028521538,4.614068985
1975,4.554555416,4.381522179,4.208143234,4.244260311,4.274049759,4.637450218
1974,4.60973978,4.403924942,4.176496506,4.233199596,4.267202854,4.602901936
1973,4.466112137,4.149306297,4.103876114,4.152850628,4.150035381,4.578929901
1972,4.598969936,4.355634212,4.055988789,4.225821972,4.08980751,4.686526775
1971,4.622981548,4.446906567,4.211893559,4.217842579,4.166104794,4.685215473
1970,4.441438675,4.344842911,4.056096554,4.293445587,4.165243626,4.567551613
1969,4.445536137,4.278262615,4.044234276,4.204609871,4.05425787,4.577758312
1968,4.459450245,4.343583584,4.0858531,4.059026241,4.157393932,4.466461658
1967,4.475394249,4.242511749,4.127282143,4.36987114,4.231117249,4.685693741
1966,4.435099602,4.232564449,4.086293221,4.250777721,3.999749899,4.562775135
1965,4.392845154,4.014923573,4.074957848,4.015434742,4.050972462,4.587889194
1964,4.406484604,4.1163764,4.012032032,4.055643082,4.074962139,4.453794479
1963,4.454792976,4.262382507,4.074782372,4.024786472,4.073854446,4.583602428
1962,4.499843121,4.30806303,4.104700089,3.99687767,4.154983044,4.614635944
1961,4.404866695,4.28704977,4.27203083,4.206188679,4.097783566,4.561296463
1960,4.537466049,4.211723328,4.186357021,4.044612408,4.103105545,4.592933655
