Test time_s,Standard travel_mm,Standard force_N
12.228,4.999960914,0.21021946
12.264,4.999921059,0.20748086
12.276,4.999921059,0.198589878
12.288,4.999901131,0.198523926
12.42,4.999901131,0.20494642
12.552,4.999901131,0.20522592
12.672,4.999901131,0.200656382
12.804,4.999901131,0.20656696
12.936,4.999940986,0.21300514
13.068,5.000060552,0.21147254
13.188,5.000140262,0.21056492
13.32,5.000618524,0.2084199
13.452,5.000638452,0.21791702
13.572,5.000678308,0.21645036
13.704,5.000837728,0.199280806
13.836,5.000937366,0.2225964
13.968,5.001037004,0.20280768
14.088,5.001136642,0.20410474
14.22,5.00123628,0.225533
14.352,5.001335918,0.20734896
14.472,5.001435556,0.21911672
14.604,5.001535194,0.2259066
14.736,5.001614904,0.21197818
14.868,5.00173447,0.21325954
14.988,5.00181418,0.2248482
15.12,5.001953674,0.21184628
15.252,5.00207324,0.2186362
15.372,5.00213302,0.2315408
15.504,5.00223266,0.21623366
15.636,5.0023323,0.21742708
15.768,5.00245186,0.21884348
15.888,5.00251164,0.21541084
16.02,5.00263122,0.2247414
16.152,5.002691,0.2208754
16.272,5.00281056,0.21582852
16.404,5.00293012,0.2213496
16.536,5.00302976,0.22444
16.668,5.00314932,0.2276686
16.788,5.00318918,0.2328882
16.92,5.0032689,0.2237616
17.052,5.00336854,0.2331018
17.172,5.00352796,0.2433966
17.304,5.00364752,0.2238622
17.436,5.0037073,0.2337926
17.568,5.00382686,0.22558
17.688,5.0039265,0.21788874
17.82,5.00408592,0.2417508
17.952,5.00412578,0.2257654
18.072,5.00424534,0.221959
18.204,5.00432506,0.2390186
18.336,5.00440476,0.226676
18.468,5.00454426,0.2364402
18.588,5.0046439,0.2419236
18.72,5.00472362,0.22368
18.852,5.00484318,0.2308248
18.972,5.00492288,0.2382774
19.104,5.00504246,0.2249708
19.236,5.0051421,0.2450046
19.368,5.0052218,0.2513862
19.488,5.00532144,0.2300994
19.62,5.00542108,0.246691
19.752,5.00552072,0.2396812
19.872,5.00562036,0.2402528
20.004,5.00572,0.2430386
20.136,5.00581962,0.2305328
20.268,5.00595912,0.2397158
20.388,5.00603884,0.2547434
20.52,5.00611854,0.2382994
20.652,5.0062381,0.241506
20.772,5.0062979,0.2547278
20.904,5.0063776,0.230492
21.036,5.0065171,0.2501646
21.168,5.00669644,0.2442916
21.288,5.00671638,0.2353598
21.42,5.00675622,0.2444392
21.552,5.00689572,0.2454316
21.672,5.00697542,0.2362612
21.804,5.0071747,0.2515338
21.936,5.00723448,0.244813
22.068,5.00729428,0.2533584
22.188,5.0073939,0.2630786
22.32,5.00757326,0.2498662
22.452,5.00763304,0.255538
22.572,5.00769282,0.2606792
22.704,5.00781238,0.2471558
22.836,5.00801166,0.2531136
22.968,5.00805152,0.2532894
23.088,5.00805152,0.255271
23.22,5.00819102,0.256565
23.352,5.00831058,0.2573564
23.472,5.00847,0.2525984
23.604,5.00852978,0.2603714
23.736,5.0086095,0.2624254
23.868,5.00872906,0.252903
23.988,5.00880876,0.2691304
24.12,5.00888848,0.2580568
24.252,5.00900804,0.259021
24.372,5.00912762,0.2686626
24.504,5.0092671,0.251672
24.636,5.00930696,0.2584524
24.768,5.00942652,0.266753
24.888,5.00952616,0.2483366
25.02,5.0096258,0.2617816
25.152,5.00970552,0.2611032
25.272,5.00980514,0.2462608
25.404,5.00990478,0.2631476
25.536,5.01002436,0.2585656
25.668,5.01010406,0.26854
25.788,5.0102037,0.2652424
25.92,5.01032326,0.265478
26.052,5.01040298,0.270685
26.172,5.01048268,0.2753268
26.304,5.01058232,0.2664892
26.436,5.0107019,0.2649002
26.568,5.01084138,0.2703992
26.688,5.01090116,0.2636972
26.82,5.0110008,0.2741868
26.952,5.01112038,0.2690676
27.072,5.01122,0.260497
27.204,5.01133958,0.274014
27.336,5.01139936,0.271844
27.468,5.011499,0.266483
27.588,5.01159864,0.2842618
27.72,5.01169828,0.271489
27.852,5.01183776,0.2709144
27.972,5.01191748,0.277676
28.104,5.01199718,0.2726574
28.236,5.0120769,0.2793436
28.368,5.01221638,0.2781376
28.488,5.01231602,0.267959
28.62,5.01241566,0.2793028
28.752,5.01255516,0.278571
28.872,5.01261494,0.269545
29.004,5.01271458,0.2839258
29.136,5.01281422,0.2777232
29.268,5.01291386,0.2796514
29.388,5.0130135,0.2844566
29.52,5.01311314,0.281831
29.652,5.01319284,0.2831186
29.772,5.0133124,0.2912558
29.904,5.01341204,0.2816206
30.036,5.01351168,0.284447
30.168,5.01361132,0.2874274
30.288,5.01369104,0.2800378
30.42,5.01379066,0.2815922
30.552,5.01393016,0.2908476
30.672,5.01398994,0.2815798
30.804,5.01404972,0.2908884
30.936,5.0141693,0.2927634
31.068,5.01430878,0.2842774
31.188,5.01442836,0.2911114
31.32,5.0144682,0.285876
31.452,5.0146077,0.2880838
31.572,5.01470734,0.2876034
31.704,5.01484684,0.2903796
31.836,5.01488668,0.2808982
31.968,5.01500626,0.2931998
32.088,5.01510588,0.2849276
32.22,5.01520552,0.2920912
32.352,5.0153251,0.2810992
32.472,5.0154048,0.289359
32.604,5.01548452,0.2920912
32.736,5.01564394,0.290298
32.868,5.01570372,0.2922766
32.988,5.01580336,0.2924806
33.12,5.015903,0.2937494
33.252,5.01600264,0.2880682
33.372,5.01610226,0.3022384
33.504,5.01624176,0.295703
33.636,5.01630154,0.2924304
33.768,5.01638126,0.3012052
33.888,5.01654068,0.2994654
34.02,5.01660046,0.3034632
34.152,5.0167001,0.3016982
34.272,5.01679974,0.2975214
34.404,5.01687944,0.3032874
34.536,5.01701894,0.3000212
34.668,5.01709866,0.2966168
34.788,5.01717836,0.3053162
34.92,5.01725808,0.2987776
35.052,5.0174175,0.2940636
35.172,5.0174972,0.3052974
35.304,5.01761676,0.297088
35.436,5.01767656,0.3041354
35.568,5.01775626,0.3021788
35.688,5.0178559,0.2939568
35.82,5.01805518,0.3088242
35.952,5.01813488,0.3120622
36.072,5.01817474,0.309757
36.204,5.0182943,0.3127092
36.336,5.01839394,0.307097
36.468,5.0185135,0.2981086
36.588,5.01859322,0.3153346
36.72,5.01871278,0.3060228
36.852,5.01881242,0.3083752
36.972,5.01889214,0.3147694
37.104,5.01899178,0.30672
37.236,5.01911134,0.311073
37.368,5.01921098,0.30417
37.488,5.01929068,0.3060134
37.62,5.01939032,0.3070844
37.752,5.01954974,0.3097288
37.872,5.01960952,0.3018114
38.004,5.01968924,0.3121218
38.136,5.01978888,0.317775
38.268,5.0199483,0.3088022
38.388,5.01998816,0.3121596
38.52,5.0200878,0.323541
38.652,5.0201874,0.3110164
38.772,5.020287,0.315768
38.904,5.0203868,0.3086892
39.036,5.0204464,0.315319
39.168,5.020566,0.3196562
39.288,5.0206856,0.3140754
39.42,5.0208052,0.3195242
39.552,5.0208848,0.3180764
39.672,5.0209248,0.3160068
39.804,5.0210842,0.3233872
39.936,5.0212236,0.3219488
40.068,5.0212834,0.3108028
40.188,5.0213432,0.3209374
40.32,5.0214628,0.3173824
40.452,5.0216422,0.3130044
40.572,5.021702,0.3248256
40.704,5.0218214,0.3157022
40.836,5.0218812,0.3165658
40.968,5.0220208,0.3248476
41.088,5.0220806,0.3169772
41.22,5.0222002,0.3232018
41.352,5.0222798,0.3271244
41.472,5.0223794,0.3228878
41.604,5.022499,0.3227558
41.736,5.0225588,0.3353528
41.868,5.0227182,0.3129918
41.988,5.0228178,0.3224826
42.12,5.0228976,0.3302618
42.252,5.0229772,0.3189966
42.372,5.0230968,0.334731
42.504,5.0231964,0.3303436
42.636,5.0232962,0.3289428
42.768,5.0234156,0.3334432
42.888,5.0234954,0.3271308
43.02,5.0235552,0.3222282
43.152,5.0237346,0.335516
43.272,5.0238342,0.3269736
43.404,5.023874,0.3328528
43.536,5.0239538,0.3290214
43.668,5.0241132,0.3264932
43.788,5.0241928,0.3351864
43.92,5.0242726,0.3340368
44.052,5.0243922,0.3299824
44.172,5.024452,0.3397684
44.304,5.0245516,0.326311
44.436,5.0246712,0.3232898
44.568,5.0247908,0.3405692
44.688,5.0248704,0.3313674
44.82,5.02497,0.3285566
44.952,5.0250696,0.345522
45.072,5.0251892,0.335155
45.204,5.0253088,0.3333366
45.336,5.0253686,0.350704
45.468,5.0254284,0.329819
45.588,5.0255878,0.3434334
45.72,5.0257274,0.3402992
45.852,5.025787,0.3224356
45.972,5.0258868,0.338798
46.104,5.0259664,0.347802
46.236,5.026106,0.3329534
46.368,5.0261856,0.3473498
46.488,5.0262654,0.346932
46.62,5.026385,0.3355664
46.752,5.0264846,0.344272
46.872,5.0265842,0.3437602
47.004,5.0267236,0.342416
47.136,5.0267834,0.3527264
47.268,5.0268632,0.3381604
47.388,5.0270026,0.3469666
47.52,5.0271024,0.3489578
47.652,5.027182,0.337658
47.772,5.0272816,0.3489076
47.904,5.0273614,0.354391
48.036,5.027481,0.337884
48.168,5.0275606,0.3627952
48.288,5.0276802,0.3592274
48.42,5.02776,0.3338452
48.552,5.0278196,0.3566144
48.672,5.0279392,0.356492
48.804,5.0280788,0.3423846
48.936,5.0281584,0.3535996
49.068,5.0282582,0.3270176
49.188,5.0283378,0.3267288
49.32,5.0284774,0.3578832
49.452,5.028557,0.3374664
49.572,5.0286368,0.3417438
49.704,5.0286966,0.3582444
49.836,5.0289356,0.357629
49.968,5.0290154,0.363461
50.088,5.0290552,0.3574812
50.22,5.0291748,0.350638
50.352,5.0292544,0.3563444
50.472,5.0293542,0.3535368
50.604,5.0294936,0.3529996
50.736,5.0296132,0.3599718
50.868,5.029653,0.353295
50.988,5.0297726,0.3562282
51.12,5.0298922,0.3587878
51.252,5.0299718,0.3540392
51.372,5.0300716,0.362726
51.504,5.0301712,0.36554
51.636,5.0302708,0.3505878
51.768,5.0303904,0.3634892
51.888,5.03049,0.3611056
52.02,5.0305698,0.3536216
52.152,5.0306694,0.3749398
52.272,5.030769,0.3648994
52.404,5.0308686,0.3599624
52.536,5.0309682,0.3748456
52.668,5.0310678,0.3573588
52.788,5.0311676,0.3618184
52.92,5.0312872,0.3698992
53.052,5.0313868,0.3540078
53.172,5.0314266,0.3605748
53.304,5.031566,0.3652416
53.436,5.0316658,0.359595
53.568,5.0317454,0.3670256
53.688,5.0318252,0.367842
53.82,5.0319448,0.3660802
53.952,5.0320842,0.368891
54.072,5.0322038,0.3623838
54.204,5.0322436,0.3641268
54.336,5.0322834,0.3702948
54.468,5.032443,0.3617902
54.588,5.0326024,0.3604208
54.72,5.032682,0.3767676
54.852,5.0327418,0.3697986
